X,Y
-32.076736,2.147572
1.281998,-0.215578
14.817826,-5.914497
3.052384,-5.187496
17.274878,-26.401316
58.261984,38.497012
-29.576467,10.370317
18.909459,-0.379622
-33.322709,-6.210847
6.874892,-12.123726
-10.248874,11.312455
26.475179,-21.425241
-17.205604,-24.441544
10.389864,-24.762785
-25.302874,30.837767
-43.182780,14.589099
8.694679,0.697715
34.665786,-8.886751
10.402683,18.434558
-20.043316,17.645755
5.366911,-37.055871
15.343494,0.537683
23.825441,-22.099853
-23.148216,-21.512565
13.925588,39.723195
7.027674,36.177510
-0.648302,8.435621
0.263632,-8.052094
-13.584999,22.516003
-12.410641,35.219781
26.624284,-0.104225
5.176770,-25.378935
-9.629678,33.123366
-49.835792,-31.315154
-17.531275,-45.978735
-10.110183,-7.522731
-25.662583,-24.649345
-26.606568,-12.886020
16.519852,0.072764
-4.944300,14.150434
-33.994122,15.842655
-26.703057,4.543722
-5.992778,-2.100805
22.296138,-6.046904
-30.128177,-14.889626
31.802242,-6.573414
-9.746504,-9.869765
-34.222044,39.811389
10.261804,-2.081308
28.741838,-3.295537
-4.436082,17.454242
12.976330,-2.870356
-6.357824,-10.971952
-0.219565,-20.195108
33.308330,16.320969
17.915729,-6.216838
-24.052024,13.666599
55.992542,-34.518378
-20.423925,1.566035
16.962140,9.887780
9.961652,-1.962279
-1.688833,38.999595
4.049867,-6.408325
-3.276116,-25.670604
16.741194,57.897779
-14.248793,16.073590
-23.482997,0.510765
9.505359,43.523653
34.747896,21.085383
-2.732873,-5.966759
34.066335,5.137199
-1.764367,-2.188934
31.144843,9.706848
19.268198,-2.183732
10.454523,17.661263
18.743008,-40.145856
-16.738186,13.164853
1.961362,-2.919291
-31.411068,-1.265091
-35.597558,-7.808069
18.376726,-5.442555
-2.981356,36.743767
20.112729,9.998950
2.620358,11.643364
-15.460942,18.160934
57.886148,19.564162
27.541569,-15.322112
3.429116,-13.054862
0.444845,7.636147
33.053716,11.200600
-6.437504,9.398854
30.491292,-2.272864
13.092107,17.131318
-26.436520,2.875634
14.864908,-24.458218
22.347615,6.966330
10.929189,-25.116185
19.281061,-11.133188
27.495573,19.975018
-9.825657,-7.659503
45.078509,7.866110
3.232284,15.126962
16.675576,-2.466252
-31.602189,17.995217
20.211706,10.657894
14.437357,12.834759
-11.672641,20.790777
13.656908,-17.840618
10.107316,-17.638803
20.029156,33.807895
14.315922,10.867640
-11.087292,-15.105097
1.097609,28.872850
-33.972938,-26.064395
0.429260,19.883974
-10.314328,-10.806320
21.376785,3.099748
26.851482,37.277754
12.826191,-4.552779
-37.037897,-13.016275
10.419233,12.106121
-22.098324,-14.411180
8.757246,29.437789
3.165319,33.391197
-21.811236,-9.550562
-26.394319,-16.900084
16.773029,-47.291767
42.395277,27.744587
-0.991449,-25.174521
6.513957,6.691321
-10.966467,3.598181
-5.406381,19.792821
-33.456108,-18.483170
1.656636,24.301512
3.803855,-17.392474
-6.164143,4.832851
2.141767,-38.800788
-7.139602,-24.640744
26.750536,11.554892
-1.524360,6.220440
5.267464,9.693551
19.218762,29.501958
3.803630,-9.175077
8.081483,-2.581427
-36.507323,1.988339
-4.978060,-27.642400
38.289950,13.062397
7.812169,0.073546
20.478821,19.445333
7.861998,13.063088
37.638553,28.400075
-14.965179,3.818878
-16.140602,9.426669
13.147511,9.039917
15.725225,2.891622
6.345585,-30.310839
5.921754,19.657142
-13.313002,-22.140782
20.707656,-14.716440
0.728051,-9.691087
9.970866,16.587476
-9.559809,47.041804
41.014861,-0.144413
-8.998929,35.799724
3.334811,-0.977048
-22.053446,20.535726
-16.239660,-16.718166
-0.914066,2.308982
-16.451075,-14.203321
2.519539,-17.847493
-16.794171,-28.217454
2.436267,22.942664
0.558998,14.309121
24.635941,3.705705
-10.096602,-6.821812
-22.002827,-2.126344
-16.042269,3.644769
-43.275263,-17.119330
-43.771732,-1.685626
20.121811,-17.730759
42.508025,15.964882
-7.658409,-20.435424
1.848369,10.297984
-9.040280,9.833104
19.036302,-10.165285
-3.463777,8.416776
-2.482330,15.859613
-3.067065,7.871432
-32.374819,0.178506
16.549824,-7.177449
-24.446553,10.346177
44.240340,-37.085828
26.941864,12.988349
3.790310,-9.130838
-54.600826,-3.056554
0.732915,-0.630565
14.774823,-22.958628
7.494340,-3.051952
-12.925499,-21.761605
40.353681,-27.669819
14.623773,-12.955102
-4.592941,26.743620
42.882240,55.953622
7.942917,-4.497767
3.189332,10.571314
7.753286,-22.662251
24.293420,-20.102335
6.260632,-0.823163
4.395565,23.137929
5.026885,-42.290743
37.983794,-21.757568
1.574407,11.413780
-27.038409,-10.577714
-15.414815,-7.698028
-9.812548,-7.447788
21.591584,25.505952
23.491017,5.640828
-6.690374,-7.489790
0.015020,29.370123
-5.893115,7.186428
-28.693428,20.863137
-22.021647,-32.233255
-26.226146,-28.303692
5.456958,36.658886
15.977937,-5.332214
-2.922709,-29.610897
-9.704998,1.200564
13.755517,12.001684
-18.633989,13.757962
-39.796794,8.764401
-1.471704,-1.935503
6.468106,1.416002
-21.691999,-25.527559
-28.679911,-21.647606
-14.023964,0.623315
-28.028970,7.782456
-6.172368,23.421289
-5.709212,-55.365734
2.800507,-44.489335
17.854580,4.905191
-0.588378,8.126990
11.128648,-0.953754
8.746368,6.942475
-32.425993,-0.775535
-4.891926,9.292600
-21.828132,-2.448126
-23.625679,-3.090834
1.145711,-21.871372
20.939748,-2.619531
12.416668,17.567787
8.590209,35.647072
28.275880,-3.207718
-1.169560,7.239688
-13.786039,3.806332
-9.263568,-32.837399
-11.033208,-4.022211
-38.462608,0.630116
24.164501,81.663170
-3.485913,-37.133425
-2.409257,-16.480989
-9.503193,-43.730111
0.484890,-7.445086
-11.556238,-7.230325
18.460182,0.340730
-32.570974,24.651172
13.352959,-6.174018
1.538663,-9.208749
22.820565,-33.301156
27.704357,-18.291010
27.239305,-1.910691
-0.069504,14.539263
-17.583617,-26.912701
28.977219,46.444746
-21.029919,10.359458
5.574618,-2.493947
-9.944583,-2.600627
3.571144,15.577638
38.692681,-6.949178
12.670490,-33.238753
7.273796,-19.772882
-1.048865,-24.082701
7.909676,4.988923
16.733158,-4.657544
11.918526,9.796979
-17.730122,-14.109284
-12.711630,21.792268
0.869976,1.846282
15.388053,-9.944475
8.741293,-9.332633
-3.176714,-16.861118
-37.360202,-7.465496
-24.264216,5.855812
28.702974,-28.265158
-9.581827,-6.901461
25.389836,-16.434460
5.635812,-15.484623
-11.816931,7.986659
-33.972904,3.448041
-6.156732,13.772762
-13.022666,4.369062
-23.691941,-5.307731
-7.090321,-5.958326
27.346245,43.018183
34.002441,0.127410
-37.591776,-3.903714
-5.708220,-1.751787
-7.188828,-4.580431
6.491912,-7.404270
15.106687,73.285217
7.241639,28.613608
1.068818,22.446731
-30.568589,-12.249527
-18.648805,-7.729160
-8.437986,7.957430
-12.582601,15.035148
-31.630912,4.463817
-25.072741,-23.163430
14.288448,-9.022007
-22.684104,8.781926
-9.131194,-25.966283
-12.840721,47.862861
6.680269,4.558851
-11.092562,3.221427
-22.649251,-7.276624
-11.230149,17.760713
19.292689,-7.307934
30.110827,-12.791844
13.360267,25.878228
6.071423,6.310864
-10.288648,1.655069
11.795861,-11.958508
30.986567,16.373957
36.987888,10.979399
-27.185144,19.379626
-18.812064,-23.485342
48.676280,11.675288
-6.144236,-21.872055
22.798972,22.638863
-11.954361,1.481036
21.527080,-7.645437
26.891258,3.647059
-30.270428,-30.356513
-44.924050,8.426030
1.929617,19.453700
-22.625400,-21.382642
-4.668896,-4.128535
22.125083,7.244481
19.937293,14.705861
22.573458,-30.857563
-33.307538,-22.040336
12.358647,24.752048
-25.902850,-23.982232
-14.059239,5.407448
14.286767,-31.832789
17.634454,5.753012
5.325771,-23.187148
10.167241,-5.662639
-3.002002,23.884082
-23.855792,7.731318
-12.623208,22.143095
9.563239,-3.318760
-20.594499,10.930489
-19.054901,-20.436038
-30.343738,23.422687
-21.119862,7.174589
